stop_id,stop_code,name,lat,lon
10595,806025,STATE RD @ 1291 W,40.367761,-111.759155
10596,807038,STATE RD @ 312 E,40.355186,-111.735876
10601,817272,STATE ST @ 785 S,40.282931,-111.688591
10603,816052,STATE ST @ 575 S,40.286415,-111.690121
10604,816054,STATE ST @ 371 S,40.290195,-111.691787
10606,816140,STATE ST @ 183 S,40.293752,-111.693351
10607,812003,STATE ST @ 44 N,40.298061,-111.695209
10609,812005,STATE ST @ 220 N,40.301166,-111.696595
10612,812009,STATE ST @ 602 N,40.308702,-111.699885
10615,812015,STATE ST @ 1370 N,40.322528,-111.705961
10617,812016,STATE ST @ 1660 N,40.327121,-111.708004
10618,812017,STATE ST @ 1820 N,40.330594,-111.710714
10619,812019,STATE ST @ 115 S,40.335535,-111.714771
10622,812022,STATE ST @ 350 N,40.343491,-111.721451
10623,807001,STATE ST @ 410 N,40.345082,-111.723315
10625,807003,STATE RD @ 915 S,40.352769,-111.732491
10626,807004,STATE RD @ 789 S,40.354281,-111.734307
10627,807005,STATE RD @ 667 S,40.356342,-111.736731
10628,806105,MAIN ST @ 49 S,40.363217,-111.740671
10629,806007,CENTER ST @ 50 W,40.364083,-111.741552
10630,806008,CENTER ST @ 204 W,40.364719,-111.744503
10632,817246,STATE ST @ 1825 N,40.258645,-111.674691
10648,816085,1200 W @ 430 S,40.289011,-111.724312
10649,816086,1200 W @ 600 S,40.286441,-111.724254
10651,816122,CAMPUS DR @ 750 W,40.280014,-111.713851
10659,816127,800 S @ 334 E,40.282354,-111.687443
10663,817095,800 E @ 860 S,40.281198,-111.676466
10664,817097,800 E @ 1020 S,40.278207,-111.676426
10666,820244,900 E @ 390 S,40.228604,-111.642825
10667,820245,900 E @ 534 S,40.226499,-111.642764
10733,817039,2230 N @ 120 E,40.263323,-111.657981
10734,817040,2230 N @ 180 E,40.263332,-111.655201
10735,817041,2200 N @ 300 E,40.263151,-111.653157
10736,817042,2200 N @ 650 E,40.263042,-111.648197
10737,817043,TEMPLE DR @ 800 E,40.262849,-111.645051
10738,817044,TEMPLE HILL DR @ 2185 N,40.263979,-111.642491
10740,817047,900 E @ 1859 N,40.259491,-111.643455
10754,820242,900 E @ 80 S,40.232478,-111.643159
10757,820021,300 S @ 395 E,40.229759,-111.652018
10767,817031,1460 N @ 1510 W,40.253521,-111.685714
10769,816019,1460 N @ 1870 W,40.253524,-111.690692
10770,816020,1460 N @ 2080 W,40.253513,-111.694265
10771,816022,2100 W @ 1680 N,40.256588,-111.694699
10773,816025,MAIN ST @ 1835 S,40.263688,-111.694837
10774,816027,MAIN ST @ 1585 S,40.268272,-111.694951
10775,816028,MAIN ST @ 1449 S,40.270529,-111.695002
10776,816029,MAIN ST @ 1385 S,40.272187,-111.694999
10777,816128,1435 S @ 429 W,40.271524,-111.705613
10778,816129,1435 S @ 525 W,40.270781,-111.708341
10779,816130,1435 S @ 650 W,40.270881,-111.711011
10780,816131,SANDHILL RD @ 1355 S,40.272753,-111.712107
10781,816132,1435 S @ 626 W,40.270762,-111.711082
10782,816133,1435 S @ 526 W,40.270702,-111.708447
10783,816134,1435 S @ 420 W,40.271541,-111.705238
10784,816008,MAIN ST @ 1325 S,40.272877,-111.695256
10785,816009,MAIN ST @ 1474 S,40.270568,-111.695179
10786,816010,MAIN ST @ 1628 S,40.267391,-111.695111
10787,816011,MAIN ST @ 1836 S,40.263566,-111.695057
10788,816013,2100 W @ 1699 N,40.257156,-111.694884
10789,816014,2100 W @ 1601 N,40.255559,-111.694854
10790,816015,1460 N @ 2043 W,40.253385,-111.694141
10791,816016,1460 N @ 1899 W,40.253399,-111.691008
10812,820249,900 E @ 285 S,40.230052,-111.642656
10813,820250,900 E @ 155 S,40.231983,-111.642779
10822,817074,900 E @ 1680 N,40.257161,-111.643162
10823,817075,TEMPLE VIEW DR @ 950 E,40.260023,-111.643063
10825,817078,TEMPLE DR @ 925 E,40.264224,-111.643071
10826,817079,TEMPLE DR @ 801 E,40.263111,-111.644931
